solid_SIDIS_hgc_coneout_8  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_8  |-210.387765323379*cm 1.12746368291904e-05*cm 350.027815385814*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_8  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_8  |-210.387765323379*cm 1.12746368291904e-05*cm 350.027815385814*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_8  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_8  |-210.387765323379*cm 1.12746368291904e-05*cm 350.027815385814*cm  |      ordered: zxy -180*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_8 - solid_SIDIS_hgc_conein_8  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2208002 
solid_SIDIS_hgc_coneout_9  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_coneout_9  |-205.790290375214*cm -43.7420642522774*cm 350.027815385814*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_9  | solid_SIDIS_hgc_gas  |      solid_SIDIS_hgc_conein_9  |-205.790290375214*cm -43.7420642522774*cm 350.027815385814*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_9  | solid_SIDIS_hgc_gas  |        solid_SIDIS_hgc_cone_9  |-205.790290375214*cm -43.7420642522774*cm 350.027815385814*cm  |      ordered: zxy -192*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_9 - solid_SIDIS_hgc_conein_9  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2209002 
solid_SIDIS_hgc_coneout_10  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_10  |-192.198792551999*cm -85.5724017386379*cm 350.027815385814*cm  |      ordered: zxy -204*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_conein_10  | solid_SIDIS_hgc_gas  |     solid_SIDIS_hgc_conein_10  |-192.198792551999*cm -85.5724017386379*cm 350.027815385814*cm  |      ordered: zxy -204*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                    11.15*cm 22.41*cm 11.15*cm 16*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_SIDIS_hgc_cone_10  | solid_SIDIS_hgc_gas  |       solid_SIDIS_hgc_cone_10  |-192.198792551999*cm -85.5724017386379*cm 350.027815385814*cm  |      ordered: zxy -204*deg 0*deg 39*deg  | 3dff84   |Operation:@ solid_SIDIS_hgc_coneout_10 - solid_SIDIS_hgc_conein_10  |                                                           0  |               G4_Fe  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: SL_HGC_mirror  |              mirror  |                       id manual 2210002 
solid_SIDIS_hgc_coneout_11  | solid_SIDIS_hgc_gas  |    solid_SIDIS_hgc_coneout_11  |-170.20728550766*cm -123.662814774204*cm 350.027815385814*cm  |      ordered: zxy -216*deg 0*deg 39*deg  | 3dff84   |                 Trd  |                  11.65*cm 22.91*cm 11.65*cm 16.5*cm 8.09*cm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
