solid_DDVCS_muon_forwardangle_pat_0_1_2  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_2  |                         -460.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100102 
solid_DDVCS_muon_forwardangle_pat_0_1_3  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_3  |                         -450.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100103 
solid_DDVCS_muon_forwardangle_pat_0_1_4  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_4  |                         -440.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100104 
solid_DDVCS_muon_forwardangle_pat_0_1_5  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_5  |                         -430.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100105 
solid_DDVCS_muon_forwardangle_pat_0_1_6  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_6  |                         -420.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100106 
solid_DDVCS_muon_forwardangle_pat_0_1_7  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_7  |                         -410.5*mm 0*mm 5620.93*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100107 
solid_DDVCS_muon_forwardangle_pat_0_1_8  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_8  |                         -480.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100108 
solid_DDVCS_muon_forwardangle_pat_0_1_9  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_9  |                         -470.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100109 
solid_DDVCS_muon_forwardangle_pat_0_1_10  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_10  |                         -460.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100110 
solid_DDVCS_muon_forwardangle_pat_0_1_11  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_11  |                         -450.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100111 
solid_DDVCS_muon_forwardangle_pat_0_1_12  |                root  |solid_DDVCS_muon_forwardangle_pat_0_1_12  |                         -440.5*mm 0*mm 5637.49*mm  |                       0*deg 0*deg 0*deg  | aa0000   |                 Box  |                                       4.5*mm 2435*mm 4.5*mm  |               G4_Ar  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       id manual 6100112 
