solid_lmu_gem_3_gem3_Cu_1  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem3 Cu layer  |                             0*cm 0*cm -0.22355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem2_Cu_2  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem2 Cu layer  |                             0*cm 0*cm -0.21855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem2_kapton  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem2 kapton layer  |                             0*cm 0*cm -0.19105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem2_Cu_1  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem2 Cu layer  |                             0*cm 0*cm -0.16355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem1_Cu_2  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem1 Cu layer  |                             0*cm 0*cm -0.15855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem1_kapton  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem1 kapton layer  |                             0*cm 0*cm -0.13105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem1_Cu_1  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem1 Cu layer  |                             0*cm 0*cm -0.10355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_cathode_gas  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 cathode gas layer  |                   0*cm 0*cm 0.0489500000000001*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |              urwell  |              urwell  |region manual 1 sector manual 103 chamber manual 1 layer manual 1 component manual 1 
solid_lmu_gem_3_cathode_Cu  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 cathode Cu layer  |                               0*cm 0*cm 0.1992*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_cathode_kapton  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 cathode kapton layer  |                              0*cm 0*cm 0.20195*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_window_gas  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 window gas layer  |                              0*cm 0*cm 0.35445*cm  |                       0*deg 0*deg 0*deg  | afb0ba   |                 Box  |                                       5.1*cm 5.1*cm 0.15*cm  |                 gas  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_window_Al  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 window Al layer  |                               0*cm 0*cm 0.5047*cm  |                       0*deg 0*deg 0*deg  | 2a3158   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Al  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_window_kapton  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 window kapton layer  |                               0*cm 0*cm 0.5062*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                    5.1*cm 5.1*cm 0.00125*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     solid_lmu_gem_4  |          cc_pro_tcd  |LMU-size compact GEM module 4 outer mother  |                               0*cm 0*cm 109.97*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                        5.1*cm 5.1*cm 0.6*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_4_region  |     solid_lmu_gem_4  |LMU-size compact GEM module 4 inner region  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 4f84f7   |                 Box  |                                       5.1*cm 5.1*cm 0.55*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_4_window_kapton  |solid_lmu_gem_4_region  |LMU-size compact GEM 4 window kapton layer  |                              0*cm 0*cm -0.5062*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                    5.1*cm 5.1*cm 0.00125*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_4_window_Al  |solid_lmu_gem_4_region  |LMU-size compact GEM 4 window Al layer  |                              0*cm 0*cm -0.5047*cm  |                       0*deg 0*deg 0*deg  | 2a3158   |                 Box  |                                    5.1*cm 5.1*cm 0.00025*cm  |                  Al  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
