solid_PVDIS_ec_forwardangle_showe1_gapback7  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback7  |                             0*cm 0*cm -19.2635*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
solid_PVDIS_ec_forwardangle_showe1_lead8  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead8  |                              0*cm 0*cm -19.235*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe1_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront8  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront8  |                             0*cm 0*cm -19.2065*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback8  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback8  |                             0*cm 0*cm -19.0495*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
solid_PVDIS_ec_forwardangle_showe1_lead9  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead9  |                              0*cm 0*cm -19.021*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe1_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront9  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront9  |                             0*cm 0*cm -18.9925*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback9  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback9  |                             0*cm 0*cm -18.8355*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
solid_PVDIS_ec_forwardangle_showe1_lead10  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_lead10  |                              0*cm 0*cm -18.807*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe1_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3130001 
solid_PVDIS_ec_forwardangle_showe1_gapfront10  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapfront10  |                             0*cm 0*cm -18.7785*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3140001 
solid_PVDIS_ec_forwardangle_showe1_gapback10  |solid_PVDIS_ec_forwardangle_showe1  |solid_PVDIS_ec_forwardangle_showe1_gapback10  |                             0*cm 0*cm -18.6215*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe1_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.0035*cm 0.0035*cm  | G4_TITANIUM_DIOXIDE  |                  no  |     1   |     1   |     1   |   0   |   1   |            solid_ec  |            solid_ec  |                       id manual 3150001 
