solid_ccprototype_block_27  |solid_ccprototype_gas  |    solid_ccprototype_block_27  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |414*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_28  |solid_ccprototype_gas  |    solid_ccprototype_block_28  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |426*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_29  |solid_ccprototype_gas  |    solid_ccprototype_block_29  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |438*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_block_30  |solid_ccprototype_gas  |    solid_ccprototype_block_30  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 22CC33   |            Polycone  |450*deg 0.000005*deg 2*counts 130.5*cm 130.5*cm 174.5*cm 174.5*cm 326.056*cm 425.9*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_window_front_1  |solid_ccprototype_chamber  |solid_ccprototype_window_front_1  |                             0*cm 0*cm 326.0215*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |                Tube  |                     130.5*cm 187*cm 0.0215*cm 0*deg 360*deg  |       SL_HGC_kevlar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_window_front_2  |solid_ccprototype_chamber  |solid_ccprototype_window_front_2  |                             0*cm 0*cm 326.0495*cm  |                       0*deg 0*deg 0*deg  | CC33CC   |                Tube  |                     130.5*cm 187*cm 0.0065*cm 0*deg 360*deg  |        SL_HGC_mylar  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_window_back  |solid_ccprototype_chamber  | solid_ccprototype_window_back  |                               0*cm 0*cm 425.95*cm  |                       0*deg 0*deg 0*deg  | CCCC33   |                Tube  |                     130.5*cm 174.5*cm 0.05*cm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_1  |solid_ccprototype_gas  |       solid_ccprototype_pmt_1  |-16.9400663973645*cm 161.174009895822*cm 400.672010724486*cm  |       ordered: zxy -96*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_1  |solid_ccprototype_pmt_1  |solid_ccprototype_pmt_surface_1  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2210000 
solid_ccprototype_pmt_backend_1  |solid_ccprototype_pmt_1  |solid_ccprototype_pmt_backend_1  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_2  |solid_ccprototype_gas  |       solid_ccprototype_pmt_2  |-50.0798456655194*cm 154.129933411922*cm 400.672010724486*cm  |      ordered: zxy -108*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_2  |solid_ccprototype_pmt_2  |solid_ccprototype_pmt_surface_2  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2220000 
solid_ccprototype_pmt_backend_2  |solid_ccprototype_pmt_2  |solid_ccprototype_pmt_backend_2  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_3  |solid_ccprototype_gas  |       solid_ccprototype_pmt_3  |-81.0308954427278*cm 140.349639469417*cm 400.672010724486*cm  |      ordered: zxy -120*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_3  |solid_ccprototype_pmt_3  |solid_ccprototype_pmt_surface_3  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2230000 
solid_ccprototype_pmt_backend_3  |solid_ccprototype_pmt_3  |solid_ccprototype_pmt_backend_3  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_4  |solid_ccprototype_gas  |       solid_ccprototype_pmt_4  |-108.440506380092*cm 120.435393018311*cm 400.672010724486*cm  |      ordered: zxy -132*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_4  |solid_ccprototype_pmt_4  |solid_ccprototype_pmt_surface_4  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2240000 
solid_ccprototype_pmt_backend_4  |solid_ccprototype_pmt_4  |solid_ccprototype_pmt_backend_4  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_5  |solid_ccprototype_gas  |       solid_ccprototype_pmt_5  |-131.110746994462*cm 95.2575421580877*cm 400.672010724486*cm  |      ordered: zxy -144*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_5  |solid_ccprototype_pmt_5  |solid_ccprototype_pmt_surface_5  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2250000 
solid_ccprototype_pmt_backend_5  |solid_ccprototype_pmt_5  |solid_ccprototype_pmt_backend_5  |                               0*cm 0*cm -0.001*cm  |                       0*deg 0*deg 0*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_6  |solid_ccprototype_gas  |       solid_ccprototype_pmt_6  |-148.050819020785*cm 65.9164797506691*cm 400.672010724486*cm  |      ordered: zxy -156*deg 0*deg 39*deg  | 000000   |                 Box  |                                  10.16*cm 10.16*cm 0.002*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_ccprototype_pmt_surface_6  |solid_ccprototype_pmt_6  |solid_ccprototype_pmt_surface_6  |                                0*cm 0*cm 0.001*cm  |                       0*deg 0*deg 0*deg  | 009999   |                 Box  |                                  10.16*cm 10.16*cm 0.001*cm  |        SL_HGC_C4F8O  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_hgc  |           solid_hgc  |                       id manual 2260000 
