     solid_ec_shield  |          cc_pro_tcd  |               solid_ec_shield  |                               0*cm 0*cm 92.742*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                 Box  |                                         13*cm 13*cm 0.56*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback43  |     solid_ec_showe1  |   solid_ec_showe1_paintback43  |                             0*cm 0*cm -12.8125*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront43  |     solid_ec_showe1  |    solid_ec_showe1_gapfront43  |                              0*cm 0*cm -12.804*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback43  |     solid_ec_showe1  |     solid_ec_showe1_gapback43  |                              0*cm 0*cm -12.642*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod1  |                         5.6255*cm 0*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod2  |2.81273806984771*cm 4.87183279684652*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod3  |-2.81277386025399*cm 4.87181213318739*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod5  |-2.81270227928962*cm -4.87185346024272*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint43_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint43_rod6  |2.81280965050846*cm -4.87179146926533*cm -12.723*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead44  |     solid_ec_showe1  |        solid_ec_showe1_lead44  |                              0*cm 0*cm -12.611*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront44  |     solid_ec_showe1  |  solid_ec_showe1_paintfront44  |                             0*cm 0*cm -12.6335*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback44  |     solid_ec_showe1  |   solid_ec_showe1_paintback44  |                             0*cm 0*cm -12.5785*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront44  |     solid_ec_showe1  |    solid_ec_showe1_gapfront44  |                               0*cm 0*cm -12.57*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback44  |     solid_ec_showe1  |     solid_ec_showe1_gapback44  |                              0*cm 0*cm -12.408*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod1  |                         5.6255*cm 0*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod2  |2.81273806984771*cm 4.87183279684652*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod3  |-2.81277386025399*cm 4.87181213318739*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod5  |-2.81270227928962*cm -4.87185346024272*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint44_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint44_rod6  |2.81280965050846*cm -4.87179146926533*cm -12.489*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead45  |     solid_ec_showe1  |        solid_ec_showe1_lead45  |                              0*cm 0*cm -12.377*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront45  |     solid_ec_showe1  |  solid_ec_showe1_paintfront45  |                             0*cm 0*cm -12.3995*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback45  |     solid_ec_showe1  |   solid_ec_showe1_paintback45  |                             0*cm 0*cm -12.3445*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront45  |     solid_ec_showe1  |    solid_ec_showe1_gapfront45  |                              0*cm 0*cm -12.336*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback45  |     solid_ec_showe1  |     solid_ec_showe1_gapback45  |                              0*cm 0*cm -12.174*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod1  |                         5.6255*cm 0*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod2  |2.81273806984771*cm 4.87183279684652*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod3  |-2.81277386025399*cm 4.87181213318739*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod5  |-2.81270227928962*cm -4.87185346024272*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint45_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint45_rod6  |2.81280965050846*cm -4.87179146926533*cm -12.255*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead46  |     solid_ec_showe1  |        solid_ec_showe1_lead46  |                              0*cm 0*cm -12.143*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront46  |     solid_ec_showe1  |  solid_ec_showe1_paintfront46  |                             0*cm 0*cm -12.1655*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback46  |     solid_ec_showe1  |   solid_ec_showe1_paintback46  |                             0*cm 0*cm -12.1105*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront46  |     solid_ec_showe1  |    solid_ec_showe1_gapfront46  |                              0*cm 0*cm -12.102*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback46  |     solid_ec_showe1  |     solid_ec_showe1_gapback46  |                               0*cm 0*cm -11.94*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod1  |                         5.6255*cm 0*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod2  |2.81273806984771*cm 4.87183279684652*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod3  |-2.81277386025399*cm 4.87181213318739*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod5  |-2.81270227928962*cm -4.87185346024272*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint46_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint46_rod6  |2.81280965050846*cm -4.87179146926533*cm -12.021*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead47  |     solid_ec_showe1  |        solid_ec_showe1_lead47  |                              0*cm 0*cm -11.909*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront47  |     solid_ec_showe1  |  solid_ec_showe1_paintfront47  |                             0*cm 0*cm -11.9315*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback47  |     solid_ec_showe1  |   solid_ec_showe1_paintback47  |                             0*cm 0*cm -11.8765*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront47  |     solid_ec_showe1  |    solid_ec_showe1_gapfront47  |                              0*cm 0*cm -11.868*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback47  |     solid_ec_showe1  |     solid_ec_showe1_gapback47  |                              0*cm 0*cm -11.706*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod1  |                         5.6255*cm 0*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod2  |2.81273806984771*cm 4.87183279684652*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod3  |-2.81277386025399*cm 4.87181213318739*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod5  |-2.81270227928962*cm -4.87185346024272*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint47_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint47_rod6  |2.81280965050846*cm -4.87179146926533*cm -11.787*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead48  |     solid_ec_showe1  |        solid_ec_showe1_lead48  |                              0*cm 0*cm -11.675*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront48  |     solid_ec_showe1  |  solid_ec_showe1_paintfront48  |                             0*cm 0*cm -11.6975*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintback48  |     solid_ec_showe1  |   solid_ec_showe1_paintback48  |                             0*cm 0*cm -11.6425*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapfront48  |     solid_ec_showe1  |    solid_ec_showe1_gapfront48  |                              0*cm 0*cm -11.634*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_gapback48  |     solid_ec_showe1  |     solid_ec_showe1_gapback48  |                              0*cm 0*cm -11.472*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_ec_showe1_gapback1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod1  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod1  |                         5.6255*cm 0*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod2  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod2  |2.81273806984771*cm 4.87183279684652*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod3  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod3  |-2.81277386025399*cm 4.87181213318739*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod4  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod4  |-5.6254999998482*cm -4.13272306174735e-05*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod5  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod5  |-2.81270227928962*cm -4.87185346024272*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_scint48_rod6  |     solid_ec_showe1  |  solid_ec_showe1_scint48_rod6  |2.81280965050846*cm -4.87179146926533*cm -11.553*cm  |                       0*deg 0*deg 0*deg  | 654321   |CopyOf solid_ec_showe1_scin1_rod1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_ec_showe1_lead49  |     solid_ec_showe1  |        solid_ec_showe1_lead49  |                              0*cm 0*cm -11.441*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_ec_showe1_lead1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
solid_ec_showe1_paintfront49  |     solid_ec_showe1  |  solid_ec_showe1_paintfront49  |                             0*cm 0*cm -11.4635*cm  |                       0*deg 0*deg 0*deg  | 77ff80   |CopyOf solid_ec_showe1_paintfront1  |                          0*cm 0.3*cm 0.075*cm 0*deg 360*deg  |         SL_EC_paint  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
