y6_x22	| 72.644	| cm | - |  - | - | - | - | - | - 
y6_x23	| 83.82	| cm | - |  - | - | - | - | - | - 
y6_x24	| 94.996	| cm | - |  - | - | - | - | - | - 
y6_x25	| 106.172	| cm | - |  - | - | - | - | - | - 
y6_x26	| 117.348	| cm | - |  - | - | - | - | - | - 
y6_x27	| 128.524	| cm | - |  - | - | - | - | - | - 
y6_x28	| 139.7	| cm | - |  - | - | - | - | - | - 
y6_x29	| 150.876	| cm | - |  - | - | - | - | - | - 
y6_x30	| 162.052	| cm | - |  - | - | - | - | - | - 
y6_x31	| 173.228	| cm | - |  - | - | - | - | - | - 
num_y7	| 33	| - | - | - |  - | - | - | - | - 
y7	| -188.735	| cm | - |  - | - | - | - | - | - 
y7_x0	| -178.816	| cm | - |  - | - | - | - | - | - 
y7_x1	| -167.64	| cm | - |  - | - | - | - | - | - 
y7_x2	| -156.464	| cm | - |  - | - | - | - | - | - 
y7_x3	| -145.288	| cm | - |  - | - | - | - | - | - 
y7_x4	| -134.112	| cm | - |  - | - | - | - | - | - 
y7_x5	| -122.936	| cm | - |  - | - | - | - | - | - 
y7_x6	| -111.76	| cm | - |  - | - | - | - | - | - 
y7_x7	| -100.584	| cm | - |  - | - | - | - | - | - 
y7_x8	| -89.408	| cm | - |  - | - | - | - | - | - 
y7_x9	| -78.232	| cm | - |  - | - | - | - | - | - 
y7_x10	| -67.056	| cm | - |  - | - | - | - | - | - 
y7_x11	| -55.88	| cm | - |  - | - | - | - | - | - 
y7_x12	| -44.704	| cm | - |  - | - | - | - | - | - 
y7_x13	| -33.528	| cm | - |  - | - | - | - | - | - 
y7_x14	| -22.352	| cm | - |  - | - | - | - | - | - 
y7_x15	| -11.176	| cm | - |  - | - | - | - | - | - 
y7_x16	| 0	| cm | - |  - | - | - | - | - | - 
y7_x17	| 11.176	| cm | - |  - | - | - | - | - | - 
y7_x18	| 22.352	| cm | - |  - | - | - | - | - | - 
y7_x19	| 33.528	| cm | - |  - | - | - | - | - | - 
y7_x20	| 44.704	| cm | - |  - | - | - | - | - | - 
y7_x21	| 55.88	| cm | - |  - | - | - | - | - | - 
y7_x22	| 67.056	| cm | - |  - | - | - | - | - | - 
y7_x23	| 78.232	| cm | - |  - | - | - | - | - | - 
y7_x24	| 89.408	| cm | - |  - | - | - | - | - | - 
y7_x25	| 100.584	| cm | - |  - | - | - | - | - | - 
y7_x26	| 111.76	| cm | - |  - | - | - | - | - | - 
y7_x27	| 122.936	| cm | - |  - | - | - | - | - | - 
y7_x28	| 134.112	| cm | - |  - | - | - | - | - | - 
y7_x29	| 145.288	| cm | - |  - | - | - | - | - | - 
y7_x30	| 156.464	| cm | - |  - | - | - | - | - | - 
y7_x31	| 167.64	| cm | - |  - | - | - | - | - | - 
y7_x32	| 178.816	| cm | - |  - | - | - | - | - | - 
num_y8	| 34	| - | - | - |  - | - | - | - | - 
y8	| -179.056	| cm | - |  - | - | - | - | - | - 
y8_x0	| -184.404	| cm | - |  - | - | - | - | - | - 
y8_x1	| -173.228	| cm | - |  - | - | - | - | - | - 
y8_x2	| -162.052	| cm | - |  - | - | - | - | - | - 
y8_x3	| -150.876	| cm | - |  - | - | - | - | - | - 
y8_x4	| -139.7	| cm | - |  - | - | - | - | - | - 
y8_x5	| -128.524	| cm | - |  - | - | - | - | - | - 
y8_x6	| -117.348	| cm | - |  - | - | - | - | - | - 
y8_x7	| -106.172	| cm | - |  - | - | - | - | - | - 
y8_x8	| -94.996	| cm | - |  - | - | - | - | - | - 
y8_x9	| -83.82	| cm | - |  - | - | - | - | - | - 
y8_x10	| -72.644	| cm | - |  - | - | - | - | - | - 
y8_x11	| -61.468	| cm | - |  - | - | - | - | - | - 
y8_x12	| -50.292	| cm | - |  - | - | - | - | - | - 
y8_x13	| -39.116	| cm | - |  - | - | - | - | - | - 
y8_x14	| -27.94	| cm | - |  - | - | - | - | - | - 
y8_x15	| -16.764	| cm | - |  - | - | - | - | - | - 
y8_x16	| -5.588	| cm | - |  - | - | - | - | - | - 
y8_x17	| 5.588	| cm | - |  - | - | - | - | - | - 
y8_x18	| 16.764	| cm | - |  - | - | - | - | - | - 
y8_x19	| 27.94	| cm | - |  - | - | - | - | - | - 
y8_x20	| 39.116	| cm | - |  - | - | - | - | - | - 
y8_x21	| 50.292	| cm | - |  - | - | - | - | - | - 
y8_x22	| 61.468	| cm | - |  - | - | - | - | - | - 
y8_x23	| 72.644	| cm | - |  - | - | - | - | - | - 
y8_x24	| 83.82	| cm | - |  - | - | - | - | - | - 
y8_x25	| 94.996	| cm | - |  - | - | - | - | - | - 
y8_x26	| 106.172	| cm | - |  - | - | - | - | - | - 
y8_x27	| 117.348	| cm | - |  - | - | - | - | - | - 
y8_x28	| 128.524	| cm | - |  - | - | - | - | - | - 
y8_x29	| 139.7	| cm | - |  - | - | - | - | - | - 
y8_x30	| 150.876	| cm | - |  - | - | - | - | - | - 
y8_x31	| 162.052	| cm | - |  - | - | - | - | - | - 
y8_x32	| 173.228	| cm | - |  - | - | - | - | - | - 
y8_x33	| 184.404	| cm | - |  - | - | - | - | - | - 
num_y9	| 37	| - | - | - |  - | - | - | - | - 
y9	| -169.377	| cm | - |  - | - | - | - | - | - 
y9_x0	| -201.168	| cm | - |  - | - | - | - | - | - 
y9_x1	| -189.992	| cm | - |  - | - | - | - | - | - 
y9_x2	| -178.816	| cm | - |  - | - | - | - | - | - 
y9_x3	| -167.64	| cm | - |  - | - | - | - | - | - 
y9_x4	| -156.464	| cm | - |  - | - | - | - | - | - 
y9_x5	| -145.288	| cm | - |  - | - | - | - | - | - 
y9_x6	| -134.112	| cm | - |  - | - | - | - | - | - 
y9_x7	| -122.936	| cm | - |  - | - | - | - | - | - 
y9_x8	| -111.76	| cm | - |  - | - | - | - | - | - 
y9_x9	| -100.584	| cm | - |  - | - | - | - | - | - 
y9_x10	| -89.408	| cm | - |  - | - | - | - | - | - 
y9_x11	| -78.232	| cm | - |  - | - | - | - | - | - 
y9_x12	| -67.056	| cm | - |  - | - | - | - | - | - 
y9_x13	| -55.88	| cm | - |  - | - | - | - | - | - 
y9_x14	| -44.704	| cm | - |  - | - | - | - | - | - 
y9_x15	| -33.528	| cm | - |  - | - | - | - | - | - 
y9_x16	| -22.352	| cm | - |  - | - | - | - | - | - 
y9_x17	| -11.176	| cm | - |  - | - | - | - | - | - 
y9_x18	| 0	| cm | - |  - | - | - | - | - | - 
y9_x19	| 11.176	| cm | - |  - | - | - | - | - | - 
y9_x20	| 22.352	| cm | - |  - | - | - | - | - | - 
y9_x21	| 33.528	| cm | - |  - | - | - | - | - | - 
y9_x22	| 44.704	| cm | - |  - | - | - | - | - | - 
y9_x23	| 55.88	| cm | - |  - | - | - | - | - | - 
y9_x24	| 67.056	| cm | - |  - | - | - | - | - | - 
y9_x25	| 78.232	| cm | - |  - | - | - | - | - | - 
y9_x26	| 89.408	| cm | - |  - | - | - | - | - | - 
y9_x27	| 100.584	| cm | - |  - | - | - | - | - | - 
y9_x28	| 111.76	| cm | - |  - | - | - | - | - | - 
y9_x29	| 122.936	| cm | - |  - | - | - | - | - | - 
y9_x30	| 134.112	| cm | - |  - | - | - | - | - | - 
y9_x31	| 145.288	| cm | - |  - | - | - | - | - | - 
y9_x32	| 156.464	| cm | - |  - | - | - | - | - | - 
y9_x33	| 167.64	| cm | - |  - | - | - | - | - | - 
y9_x34	| 178.816	| cm | - |  - | - | - | - | - | - 
y9_x35	| 189.992	| cm | - |  - | - | - | - | - | - 
y9_x36	| 201.168	| cm | - |  - | - | - | - | - | - 
num_y10	| 38	| - | - | - |  - | - | - | - | - 
y10	| -159.699	| cm | - |  - | - | - | - | - | - 
y10_x0	| -206.756	| cm | - |  - | - | - | - | - | - 
y10_x1	| -195.58	| cm | - |  - | - | - | - | - | - 
y10_x2	| -184.404	| cm | - |  - | - | - | - | - | - 
y10_x3	| -173.228	| cm | - |  - | - | - | - | - | - 
