idymax	| 54	| - | - | - |  - | - | - | - | - 
x_idy6_idx23_id113_sector25_status1	| 89.408	| cm | - |  - | - | - | - | - | - 
x_idy6_idx24_id114_sector25_status1	| 100.584	| cm | - |  - | - | - | - | - | - 
x_idy6_idx25_id115_sector25_status1	| 111.76	| cm | - |  - | - | - | - | - | - 
x_idy6_idx26_id116_sector26_status1	| 122.936	| cm | - |  - | - | - | - | - | - 
x_idy6_idx27_id117_sector26_status1	| 134.112	| cm | - |  - | - | - | - | - | - 
x_idy6_idx28_id118_sector26_status1	| 145.288	| cm | - |  - | - | - | - | - | - 
x_idy6_idx29_id119_sector26_status1	| 156.464	| cm | - |  - | - | - | - | - | - 
idxmax_idy7	| 32	| - | - | - |  - | - | - | - | - 
y_idy7	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy7_idx1_id120_sector20_status1	| -173.228	| cm | - |  - | - | - | - | - | - 
x_idy7_idx2_id121_sector20_status1	| -162.052	| cm | - |  - | - | - | - | - | - 
x_idy7_idx3_id122_sector20_status1	| -150.876	| cm | - |  - | - | - | - | - | - 
x_idy7_idx4_id123_sector20_status1	| -139.7	| cm | - |  - | - | - | - | - | - 
x_idy7_idx5_id124_sector20_status1	| -128.524	| cm | - |  - | - | - | - | - | - 
x_idy7_idx6_id125_sector20_status1	| -117.348	| cm | - |  - | - | - | - | - | - 
x_idy7_idx7_id126_sector21_status1	| -106.172	| cm | - |  - | - | - | - | - | - 
x_idy7_idx8_id127_sector21_status1	| -94.996	| cm | - |  - | - | - | - | - | - 
x_idy7_idx9_id128_sector21_status1	| -83.82	| cm | - |  - | - | - | - | - | - 
x_idy7_idx10_id129_sector21_status1	| -72.644	| cm | - |  - | - | - | - | - | - 
x_idy7_idx11_id130_sector22_status1	| -61.468	| cm | - |  - | - | - | - | - | - 
x_idy7_idx12_id131_sector22_status1	| -50.292	| cm | - |  - | - | - | - | - | - 
x_idy7_idx13_id132_sector22_status1	| -39.116	| cm | - |  - | - | - | - | - | - 
x_idy7_idx14_id133_sector22_status1	| -27.94	| cm | - |  - | - | - | - | - | - 
x_idy7_idx15_id134_sector23_status1	| -16.764	| cm | - |  - | - | - | - | - | - 
x_idy7_idx16_id135_sector23_status1	| -5.588	| cm | - |  - | - | - | - | - | - 
x_idy7_idx17_id136_sector23_status1	| 5.588	| cm | - |  - | - | - | - | - | - 
x_idy7_idx18_id137_sector23_status1	| 16.764	| cm | - |  - | - | - | - | - | - 
x_idy7_idx19_id138_sector24_status1	| 27.94	| cm | - |  - | - | - | - | - | - 
x_idy7_idx20_id139_sector24_status1	| 39.116	| cm | - |  - | - | - | - | - | - 
x_idy7_idx21_id140_sector24_status1	| 50.292	| cm | - |  - | - | - | - | - | - 
x_idy7_idx22_id141_sector24_status1	| 61.468	| cm | - |  - | - | - | - | - | - 
x_idy7_idx23_id142_sector25_status1	| 72.644	| cm | - |  - | - | - | - | - | - 
x_idy7_idx24_id143_sector25_status1	| 83.82	| cm | - |  - | - | - | - | - | - 
x_idy7_idx25_id144_sector25_status1	| 94.996	| cm | - |  - | - | - | - | - | - 
x_idy7_idx26_id145_sector25_status1	| 106.172	| cm | - |  - | - | - | - | - | - 
x_idy7_idx27_id146_sector26_status1	| 117.348	| cm | - |  - | - | - | - | - | - 
x_idy7_idx28_id147_sector26_status1	| 128.524	| cm | - |  - | - | - | - | - | - 
x_idy7_idx29_id148_sector26_status1	| 139.7	| cm | - |  - | - | - | - | - | - 
x_idy7_idx30_id149_sector26_status1	| 150.876	| cm | - |  - | - | - | - | - | - 
x_idy7_idx31_id150_sector26_status1	| 162.052	| cm | - |  - | - | - | - | - | - 
x_idy7_idx32_id151_sector26_status1	| 173.228	| cm | - |  - | - | - | - | - | - 
idxmax_idy8	| 33	| - | - | - |  - | - | - | - | - 
y_idy8	| 256.486	| cm | - |  - | - | - | - | - | - 
x_idy8_idx1_id152_sector19_status1	| -178.816	| cm | - |  - | - | - | - | - | - 
x_idy8_idx2_id153_sector20_status1	| -167.64	| cm | - |  - | - | - | - | - | - 
x_idy8_idx3_id154_sector20_status1	| -156.464	| cm | - |  - | - | - | - | - | - 
x_idy8_idx4_id155_sector20_status1	| -145.288	| cm | - |  - | - | - | - | - | - 
x_idy8_idx5_id156_sector20_status1	| -134.112	| cm | - |  - | - | - | - | - | - 
x_idy8_idx6_id157_sector20_status1	| -122.936	| cm | - |  - | - | - | - | - | - 
x_idy8_idx7_id158_sector20_status1	| -111.76	| cm | - |  - | - | - | - | - | - 
x_idy8_idx8_id159_sector21_status1	| -100.584	| cm | - |  - | - | - | - | - | - 
x_idy8_idx9_id160_sector21_status1	| -89.408	| cm | - |  - | - | - | - | - | - 
