solid_DDVCS_muon_gem_forwardangle_1_1_24  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_24  |                                 0*cm 0*cm 7.89*mm  |                     0*deg 0*deg -96*deg  | 00ffdd   |                Tube  |                       100*cm 285*cm 0.0625*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101024 
solid_DDVCS_muon_gem_forwardangle_1_1_25  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_1_25  |                               0*cm 0*cm 7.9775*mm  |                     0*deg 0*deg -96*deg  | 00ff00   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6101025 
solid_DDVCS_muon_gem_forwardangle_1_2_1  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_1  |                              0*cm 0*cm -7.9775*mm  |                    0*deg 0*deg -108*deg  | 00ff00   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102001 
solid_DDVCS_muon_gem_forwardangle_1_2_2  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_2  |                                0*cm 0*cm -7.89*mm  |                    0*deg 0*deg -108*deg  | 00ffdd   |                Tube  |                       100*cm 285*cm 0.0625*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102002 
solid_DDVCS_muon_gem_forwardangle_1_2_3  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_3  |                              0*cm 0*cm -6.3275*mm  |                    0*deg 0*deg -108*deg  | 00ff11   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102003 
solid_DDVCS_muon_gem_forwardangle_1_2_4  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_4  |                              0*cm 0*cm -4.7375*mm  |                    0*deg 0*deg -108*deg  | 00ffdd   |                Tube  |                         100*cm 285*cm 0.09*mm -6*deg 12*deg  |      SL_gem_NEMAG10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102004 
solid_DDVCS_muon_gem_forwardangle_1_2_5  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_5  |                              0*cm 0*cm -4.6225*mm  |                    0*deg 0*deg -108*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102005 
solid_DDVCS_muon_gem_forwardangle_1_2_6  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_6  |                               0*cm 0*cm -4.595*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102006 
solid_DDVCS_muon_gem_forwardangle_1_2_7  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_7  |                              0*cm 0*cm -3.0925*mm  |                    0*deg 0*deg -108*deg  | ff33fc   |                Tube  |                          100*cm 285*cm 1.5*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102007 
solid_DDVCS_muon_gem_forwardangle_1_2_8  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_8  |                                0*cm 0*cm -1.59*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102008 
solid_DDVCS_muon_gem_forwardangle_1_2_9  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_9  |                              0*cm 0*cm -1.5625*mm  |                    0*deg 0*deg -108*deg  | 1a4fff   |                Tube  |                        100*cm 285*cm 0.025*mm -6*deg 12*deg  |       SL_gem_Kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                       id manual 6102009 
solid_DDVCS_muon_gem_forwardangle_1_2_10  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_10  |                               0*cm 0*cm -1.535*mm  |                    0*deg 0*deg -108*deg  | ffe731   |                Tube  |                       100*cm 285*cm 0.0025*mm -6*deg 12*deg  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102010 
solid_DDVCS_muon_gem_forwardangle_1_2_11  |solid_DDVCS_muon_gem_forwardangle_1  |solid_DDVCS_muon_gem_forwardangle_1_2_11  |                              0*cm 0*cm -0.5325*mm  |                    0*deg 0*deg -108*deg  | ff33fc   |                Tube  |                            100*cm 285*cm 1*mm -6*deg 12*deg  |       SL_gem_GEMgas  |                  no  |     1   |     1   |     1   |   1   |   1   |           solid_gem  |           solid_gem  |                       id manual 6102011 
